Stock,Date,Open,High,Low,Close,Adj Close,Volume
AMZN,3/1/2008,63.59,76.93,61.20,71.30,71.30,192685600
AMZN,4/1/2008,72.99,82.64,70.65,78.63,78.63,197849400
AMZN,5/1/2008,78.40,84.75,71.56,81.62,81.62,152573200
AMZN,6/1/2008,81.15,84.88,72.62,73.33,73.33,152905700
AMZN,7/1/2008,72.24,82.38,62.99,76.34,76.34,215813300
AMZN,8/1/2008,76.36,91.75,74.05,80.81,80.81,149044400
AMZN,9/1/2008,83.16,86.77,61.32,72.76,72.76,192463400
AMZN,10/1/2008,71.78,71.99,43.31,57.24,57.24,332074700
AMZN,11/1/2008,56.35,58.73,34.68,42.70,42.70,228051500
AMZN,12/1/2008,42.00,54.85,38.82,51.28,51.28,206194300
AMZN,1/1/2009,51.35,59.74,47.63,58.82,58.82,204072300
AMZN,2/1/2009,58.57,67.36,58.13,64.79,64.79,186780200
AMZN,3/1/2009,63.94,75.61,59.82,73.44,73.44,227672300
AMZN,4/1/2009,73.02,86.68,71.71,80.52,80.52,185032000
AMZN,5/1/2009,80.38,83.60,73.10,77.99,77.99,137603400
AMZN,6/1/2009,78.21,88.56,76.25,83.66,83.66,152085400
AMZN,7/1/2009,84.42,94.40,75.41,85.76,85.76,175461400
AMZN,8/1/2009,86.56,88.20,80.25,81.19,81.19,112622900
AMZN,9/1/2009,80.74,94.50,77.51,93.36,93.36,128121800
AMZN,10/1/2009,92.50,125.68,88.27,118.81,118.81,268616400
AMZN,11/1/2009,118.66,136.08,116.25,135.91,135.91,160305100
AMZN,12/1/2009,136.94,145.91,125.65,134.52,134.52,207471100
AMZN,1/1/2010,136.25,136.61,118.12,125.41,125.41,230861000
AMZN,2/1/2010,123.18,124.86,113.82,118.40,118.40,210145800
AMZN,3/1/2010,118.70,138.19,117.53,135.77,135.77,158042600
AMZN,4/1/2010,135.80,151.09,130.78,137.10,137.10,173025100
AMZN,5/1/2010,137.20,139.44,117.52,125.46,125.46,140909900
AMZN,6/1/2010,124.97,129.15,106.01,109.26,109.26,133378500
AMZN,7/1/2010,108.90,124.88,105.80,117.89,117.89,175326200
AMZN,8/1/2010,119.15,130.81,117.57,124.83,124.83,113419800
AMZN,9/1/2010,126.36,161.78,126.17,157.06,157.06,134321000
AMZN,10/1/2010,157.08,171.99,151.40,165.23,165.23,142883500
AMZN,11/1/2010,164.45,181.84,156.77,175.40,175.40,131011400
AMZN,12/1/2010,179.16,185.65,173.09,180.00,180.00,93661700
AMZN,1/1/2011,181.37,191.60,166.90,169.64,169.64,113611300
AMZN,2/1/2011,170.52,191.40,169.51,173.29,173.29,95776400
AMZN,3/1/2011,173.53,181.57,160.59,180.13,180.13,118979100
AMZN,4/1/2011,181.58,197.80,175.37,195.81,195.81,116749400
AMZN,5/1/2011,196.57,206.39,190.88,196.69,196.69,106274500
AMZN,6/1/2011,196.06,206.25,181.59,204.49,204.49,95563700
AMZN,7/1/2011,205.55,227.20,203.61,222.52,222.52,92808500
AMZN,8/1/2011,225.00,227.45,177.10,215.23,215.23,155194700
AMZN,9/1/2011,215.28,244.00,204.47,216.23,216.23,143623300
AMZN,10/1/2011,217.01,246.71,196.51,213.51,213.51,159214400
AMZN,11/1/2011,208.11,222.35,181.51,192.29,192.29,136588100
AMZN,12/1/2011,191.85,199.66,166.97,173.10,173.10,125595200
AMZN,1/1/2012,175.89,196.50,173.50,194.44,194.44,110536900
AMZN,2/1/2012,173.81,193.57,172.00,179.69,179.69,146580400
AMZN,3/1/2012,179.89,209.85,176.58,202.51,202.51,112975100
AMZN,4/1/2012,198.02,233.84,183.65,231.90,231.90,110535400
AMZN,5/1/2012,229.40,232.97,207.11,212.91,212.91,92774300
AMZN,6/1/2012,208.44,228.35,206.37,228.35,228.35,65745600
AMZN,7/1/2012,229.30,240.74,212.61,233.30,233.30,77340200
AMZN,8/1/2012,234.14,250.00,228.66,248.27,248.27,60192400
AMZN,9/1/2012,248.27,264.11,244.66,254.32,254.32,63570500
AMZN,10/1/2012,255.40,261.90,222.92,232.89,232.89,81568500
AMZN,11/1/2012,234.23,252.65,218.18,252.05,252.05,67213600
AMZN,12/1/2012,252.54,263.11,242.75,250.87,250.87,60871200
AMZN,1/1/2013,256.08,284.72,253.26,265.50,265.50,84226400
AMZN,2/1/2013,268.93,274.30,255.11,264.27,264.27,68661700
AMZN,3/1/2013,263.27,277.40,252.07,266.49,266.49,58505700
AMZN,4/1/2013,266.98,275.80,248.56,253.81,253.81,76916200
AMZN,5/1/2013,253.90,271.91,245.75,269.20,269.20,59050500
AMZN,6/1/2013,268.96,283.34,262.95,277.69,277.69,58575800
AMZN,7/1/2013,279.00,313.62,277.16,301.22,301.22,67536900
AMZN,8/1/2013,303.08,306.21,279.33,280.98,280.98,43773900
AMZN,9/1/2013,284.73,320.57,284.17,312.64,312.64,43468800
AMZN,10/1/2013,314.22,368.40,296.50,364.03,364.03,77295400
AMZN,11/1/2013,365.63,394.10,341.88,393.62,393.62,54207700
AMZN,12/1/2013,399.00,405.63,379.50,398.79,398.79,55686700
AMZN,1/1/2014,398.80,408.06,357.76,358.69,358.69,81011900
AMZN,2/1/2014,358.98,365.87,337.73,362.10,362.10,83009000
AMZN,3/1/2014,358.74,383.11,330.88,336.37,336.37,75253500
AMZN,4/1/2014,338.09,348.30,288.00,304.13,304.13,138278700
AMZN,5/1/2014,304.13,314.87,284.38,312.55,312.55,78579200
AMZN,6/1/2014,312.59,340.72,303.84,324.78,324.78,76580100
AMZN,7/1/2014,325.86,364.85,311.86,312.99,312.99,99426000
AMZN,8/1/2014,313.69,346.67,304.59,339.04,339.04,62031700
AMZN,9/1/2014,339.98,349.38,317.64,322.44,322.44,68032800
AMZN,10/1/2014,322.04,325.16,284.00,305.46,305.46,111058700
AMZN,11/1/2014,306.24,341.26,292.29,338.64,338.64,68983700
AMZN,12/1/2014,338.12,340.64,293.03,310.35,310.35,86821400
AMZN,1/1/2015,312.58,359.50,285.25,354.53,354.53,103057100
AMZN,2/1/2015,350.05,389.37,350.01,380.16,380.16,70846200
AMZN,3/1/2015,380.85,388.42,365.65,372.10,372.10,55502800
AMZN,4/1/2015,372.10,452.65,368.34,421.78,421.78,84404800
AMZN,5/1/2015,423.82,439.00,414.55,429.23,429.23,51983000
AMZN,6/1/2015,430.40,447.04,419.14,434.09,434.09,54987500
